snum,roi,isSideLeft,roiNum
1,Left-Thalamus-Proper,1,10
2,Left-Caudate,1,11
3,Left-Putamen,1,12
4,Left-Pallidum,1,13
5,Left-Hippocampus,1,17
6,Left-Amygdala,1,18
7,Left-Accumbens-area,1,26
8,Right-Thalamus-Proper,0,49
9,Right-Caudate,0,50
10,Right-Putamen,0,51
11,Right-Pallidum,0,52
12,Right-Hippocampus,0,53
13,Right-Amygdala,0,54
14,Right-Accumbens-area,0,58
15,ctx-lh-lateralorbitofrontal,1,1001
16,ctx-lh-parsorbitalis,1,1002
17,ctx-lh-frontalpole,1,1003
18,ctx-lh-medialorbitofrontal,1,1004
19,ctx-lh-parstriangularis,1,1005
20,ctx-lh-parsopercularis,1,1006
21,ctx-lh-rostralmiddlefrontal,1,1007
22,ctx-lh-superiorfrontal,1,1008
23,ctx-lh-caudalmiddlefrontal,1,1009
24,ctx-lh-precentral,1,1010
25,ctx-lh-paracentral,1,1011
26,ctx-lh-rostralanteriorcingulate,1,1012
27,ctx-lh-caudalanteriorcingulate,1,1013
28,ctx-lh-posteriorcingulate,1,1014
29,ctx-lh-isthmuscingulate,1,1015
30,ctx-lh-postcentral,1,1016
31,ctx-lh-supramarginal,1,1017
32,ctx-lh-superiorparietal,1,1018
33,ctx-lh-inferiorparietal,1,1019
34,ctx-lh-precuneus,1,1020
35,ctx-lh-cuneus,1,1021
36,ctx-lh-pericalcarine,1,1022
37,ctx-lh-lateraloccipital,1,1023
38,ctx-lh-lingual,1,1024
39,ctx-lh-fusiform,1,1025
40,ctx-lh-parahippocampal,1,1026
41,ctx-lh-entorhinal,1,1027
42,ctx-lh-temporalpole,1,1028
43,ctx-lh-inferiortemporal,1,1029
44,ctx-lh-middletemporal,1,1030
45,ctx-lh-bankssts,1,1031
46,ctx-lh-superiortemporal,1,1032
47,ctx-lh-transversetemporal,1,1033
48,ctx-lh-insula,1,1034
49,ctx-rh-lateralorbitofrontal,0,2001
50,ctx-rh-parsorbitalis,0,2002
51,ctx-rh-frontalpole,0,2003
52,ctx-rh-medialorbitofrontal,0,2004
53,ctx-rh-parstriangularis,0,2005
54,ctx-rh-parsopercularis,0,2006
55,ctx-rh-rostralmiddlefrontal,0,2007
56,ctx-rh-superiorfrontal,0,2008
57,ctx-rh-caudalmiddlefrontal,0,2009
58,ctx-rh-precentral,0,2010
59,ctx-rh-paracentral,0,2011
60,ctx-rh-rostralanteriorcingulate,0,2012
61,ctx-rh-caudalanteriorcingulate,0,2013
62,ctx-rh-posteriorcingulate,0,2014
63,ctx-rh-isthmuscingulate,0,2015
64,ctx-rh-postcentral,0,2016
65,ctx-rh-supramarginal,0,2017
66,ctx-rh-superiorparietal,0,2018
67,ctx-rh-inferiorparietal,0,2019
68,ctx-rh-precuneus,0,2020
69,ctx-rh-cuneus,0,2021
70,ctx-rh-pericalcarine,0,2022
71,ctx-rh-lateraloccipital,0,2023
72,ctx-rh-lingual,0,2024
73,ctx-rh-fusiform,0,2025
74,ctx-rh-parahippocampal,0,2026
75,ctx-rh-entorhinal,0,2027
76,ctx-rh-temporalpole,0,2028
77,ctx-rh-inferiortemporal,0,2029
78,ctx-rh-middletemporal,0,2030
79,ctx-rh-bankssts,0,2031
80,ctx-rh-superiortemporal,0,2032
81,ctx-rh-transversetemporal,0,2033
82,ctx-rh-insula,0,2034
